game,average
1,66.0
2,53.0
3,50.0
4,41.75
5,39.0
6,38.666666666666664
7,45.42857142857143
8,44.625
9,41.0
10,38.0
11,38.0
12,38.583333333333336
13,38.07692307692308
14,40.642857142857146
15,39.86666666666667
16,38.125
17,39.11764705882353
18,37.5
19,36.89473684210526
20,38.3
21,38.38095238095238
22,38.86363636363637
23,40.73913043478261
24,41.875
25,41.76
26,42.07692307692308
27,42.0
28,41.285714285714285
29,40.206896551724135
30,39.43333333333333
31,38.645161290322584
32,37.96875
33,37.81818181818182
34,37.76470588235294
35,37.114285714285714
36,36.833333333333336
37,37.24324324324324
38,37.0
39,37.02564102564103
40,36.925
41,36.58536585365854
42,36.0
43,37.06976744186046
44,37.27272727272727
45,37.666666666666664
46,37.17391304347826
47,36.744680851063826
48,37.395833333333336
49,37.142857142857146
50,36.78
51,36.3921568627451
52,37.05769230769231
53,37.0377358490566
54,36.907407407407405
55,37.10909090909091
56,37.017857142857146
57,37.771929824561404
58,37.775862068965516
59,37.779661016949156
60,37.56666666666667
61,37.885245901639344
62,38.306451612903224
63,39.15873015873016
64,39.1875
65,38.86153846153846
66,39.0
67,38.791044776119406
68,38.94117647058823
69,39.492753623188406
70,39.1
71,39.08450704225352
72,38.59722222222222
73,38.23287671232877
74,37.87837837837838
75,37.64
76,37.60526315789474
77,37.63636363636363
78,37.666666666666664
79,37.607594936708864
80,38.3125
81,38.19753086419753
82,38.08536585365854
83,38.19277108433735
84,38.25
85,38.294117647058826
86,38.593023255813954
87,38.44827586206897
88,38.53409090909091
89,38.39325842696629
90,38.34444444444444
91,38.64835164835165
92,38.76086956521739
93,38.72043010752688
94,38.5531914893617
95,38.22105263157895
96,38.28125
97,38.154639175257735
98,38.45918367346939
99,38.4040404040404
100,38.32
